,battingPoints,bowlingPoints,fieldingPoints,matchId,playerId,playerName,playerTeam,secondInningBattingPoints,secondInningBowlingPoints,secondInningFieldingPoints
100,0,35,0,7898,103,harbhajan-singh,csk,0,0,0
101,55,0,10,7898,127,robin-uthappa,kkr,0,0,10
102,0,-13,0,7898,140,deepak-chahar,csk,0,0,0
103,0,-13,10,7898,166,vinay-kumar,kkr,0,-13,10
104,155,12,0,7898,177,andre-russell,kkr,0,12,0
105,27,0,0,7898,179,chris-lynn,kkr,0,0,0
106,31,44,0,7898,203,sunil-narine,kkr,0,44,0
107,73,62,0,7898,227,shane-watson,csk,73,0,0
108,0,30,0,7898,261,kuldeep-yadav,kkr,0,30,0
109,0,21,0,7898,898,imran-tahir,csk,0,0,0
110,0,36,0,7898,1745,shardul-thakur,csk,0,0,0
111,21,0,0,7898,2738,nitish-rana,kkr,0,0,0
112,101,0,0,7898,2756,sam-billings,csk,101,0,0
113,2,38,0,7898,3646,tom-curran,kkr,0,38,0
114,2,0,10,7898,3830,rinku-singh,kkr,0,0,10
115,0,0,0,7898,1118,karn-sharma,csk,0,0,0
116,0,0,0,7898,7,murali-vijay,csk,0,0,0
117,0,59,0,7899,57,shahbaz-nadeem,dd,0,0,0
118,0,0,0,7899,84,gautam-gambhir,dd,0,0,0
119,0,15,0,7899,86,jaydev-unadkat,rr,0,15,0
120,0,40,0,7899,94,mohammed-shami,dd,0,0,0
121,0,18,0,7899,101,dhawal-kulkarni,rr,0,18,0
122,60,0,0,7899,135,ajinkya-rahane,rr,0,0,0
123,61,0,0,7899,258,sanju-samson,rr,0,0,0
124,24,0,0,7899,282,glenn-maxwell,dd,24,0,0
125,53,0,10,7899,509,jos-buttler,rr,0,0,10
126,-5,0,0,7899,773,colin-munro,dd,-5,0,0
127,34,-5,10,7899,836,chris-morris,dd,34,0,0
128,0,59,0,7899,921,ben-laughlin,rr,0,59,0
129,0,34,0,7899,969,trent-boult,dd,0,0,0
130,3,0,10,7899,1083,vijay-shankar,dd,3,0,0
131,23,0,10,7899,1154,ben-stokes,rr,0,0,10
132,0,0,0,7899,1563,shreyas-iyer,dd,0,0,0
133,0,0,0,7899,1748,shreyas-gopal,rr,0,0,0
134,0,16,0,7899,1749,rahul-tewatia,dd,0,0,0
135,25,0,10,7899,2972,rishabh-pant,dd,25,0,0
136,2,7,20,7899,3834,krishnappa-gowtham,rr,0,7,20
137,22,0,0,7899,3838,rahul-tripathi,rr,0,0,0
138,6,0,0,7899,3887,d-arcy-short,rr,0,0,0
139,0,0,0,7899,148,stuart-binny,rr,0,0,0
140,27,0,0,7900,16,wriddhiman-saha,sh,27,0,0
141,65,0,10,7900,41,shikhar-dhawan,sh,65,0,0
142,0,10,0,7900,91,pradeep-sangwan,mi,0,10,0
143,19,0,10,7900,96,yusuf-pathan,sh,19,0,0
144,18,0,10,7900,107,rohit-sharma,mi,0,0,10
145,30,0,0,7900,108,suryakumar-yadav,mi,0,0,0
146,16,0,0,7900,123,manish-pandey,sh,16,0,0
147,17,34,10,7900,201,shakib-al-hasan,sh,17,0,0
148,47,0,10,7900,210,kieron-pollard,mi,0,0,10
149,6,0,10,7900,440,kane-williamson,sh,6,0,0
150,53,0,0,7900,872,evin-lewis,mi,0,0,0
151,9,9,0,7900,913,ben-cutting,mi,0,9,0
152,0,69,0,7900,1086,siddarth-kaul,sh,0,0,0
153,0,73,0,7900,1112,sandeep-sharma,sh,0,0,0
154,4,66,10,7900,1124,jasprit-bumrah,mi,0,66,10
155,5,53,0,7900,1521,billy-stanlake,sh,5,0,0
156,49,0,10,7900,1556,deepak-hooda,sh,49,0,0
157,0,100,10,7900,1594,mustafizur-rahman,mi,0,100,10
158,0,53,0,7900,2885,rashid-khan,sh,0,0,0
159,9,0,20,7900,2975,ishan-kishan,mi,0,0,20
160,25,18,10,7900,3183,krunal-pandya,mi,0,18,10
161,6,131,0,7900,4951,mayank-markande,mi,0,131,0
162,55,71,0,7901,8,ravichandran-ashwin,kxp,0,71,0
163,0,103,0,7901,59,umesh-yadav,rcb,0,0,0
164,27,0,0,7901,72,mandeep-singh,rcb,27,0,0
165,0,31,0,7901,111,yuzvendra-chahal,rcb,0,0,0
166,4,0,0,7901,113,yuvraj-singh,kxp,0,0,0
167,20,0,0,7901,158,mayank-agarwal,kxp,0,0,0
168,26,0,10,7901,164,virat-kohli,rcb,26,0,0
169,-5,0,0,7901,167,aaron-finch,kxp,0,0,0
170,-5,0,0,7901,202,brendon-mccullum,rcb,-5,0,0
171,90,0,0,7901,233,ab-de-villiers,rcb,90,0,0
172,44,0,20,7901,276,karun-nair,kxp,0,0,20
173,62,0,40,7901,834,quinton-de-kock,rcb,62,0,0
174,18,0,0,7901,964,marcus-stoinis,kxp,0,0,0
175,1,47,0,7901,967,chris-woakes,rcb,1,0,0
176,1,-12,0,7901,1107,mohit-sharma,kxp,0,-12,0
177,2,40,0,7901,1113,axar-patel,kxp,0,40,0
178,75,0,0,7901,1125,lokesh-rahul,kxp,0,0,0
179,7,37,0,7901,1480,andrew-tye,kxp,0,37,0
180,-5,0,20,7901,1564,sarfaraz-khan,rcb,-5,0,0
181,9,68,0,7901,2973,washington-sundar,rcb,9,0,0
182,0,63,0,7901,3835,kulwant-khejroliya,rcb,0,0,0
183,0,41,10,7901,4572,mujeeb-ur-rahman,kxp,0,41,10
184,0,-6,0,7902,57,shahbaz-nadeem,dd,0,0,0
185,5,0,0,7902,84,gautam-gambhir,dd,5,0,0
186,0,35,0,7902,94,mohammed-shami,dd,0,0,0
187,23,0,10,7902,107,rohit-sharma,mi,0,0,10
