,battingPoints,bonusPoints,bowlingPoints,fieldingPoints,matchDesc,matchId,playerId,playerName,playerTeam,secondInningBattingPoints,secondInningBowlingPoints,secondInningFieldingPoints
68,6,10,0,10,kkr vs rcb,7896,3830,Rinku Singh (kkr),kkr,6,0,0
69,0,5,11,0,kkr vs rcb,7896,3835,Kulwant Khejroliya (rcb),rcb,0,11,0
70,5,35,0,10,sh vs rr,7897,16,Wriddhiman Saha (sh),sh,5,0,0
71,115,60,0,0,sh vs rr,7897,41,Shikhar Dhawan (sh),sh,115,0,0
72,1,15,33,0,sh vs rr,7897,86,Jaydev Unadkat (rr),rr,0,33,0
73,0,35,0,20,sh vs rr,7897,96,Yusuf Pathan (sh),sh,0,0,0
74,3,15,22,0,sh vs rr,7897,101,Dhawal Kulkarni (rr),rr,0,22,0
75,0,20,40,0,sh vs rr,7897,116,Bhuvneshwar Kumar (sh),sh,0,0,0
76,0,35,0,10,sh vs rr,7897,123,Manish Pandey (sh),sh,0,0,0
77,18,15,0,0,sh vs rr,7897,135,Ajinkya Rahane (rr),rr,0,0,0
78,0,35,69,0,sh vs rr,7897,201,Shakib Al Hasan (sh),sh,0,0,0
79,64,65,0,0,sh vs rr,7897,258,Sanju Samson (rr),rr,0,0,0
80,53,85,0,20,sh vs rr,7897,440,Kane Williamson (sh),sh,53,0,0
81,6,15,0,0,sh vs rr,7897,509,Jos Buttler (rr),rr,0,0,0
82,1,10,9,10,sh vs rr,7897,921,Ben Laughlin (rr),rr,0,9,10
83,0,35,76,0,sh vs rr,7897,1086,Siddarth Kaul (sh),sh,0,0,0
84,5,15,-6,0,sh vs rr,7897,1154,Ben Stokes (rr),rr,0,-6,0
85,0,40,37,0,sh vs rr,7897,1521,Billy Stanlake (sh),sh,0,0,0
86,0,15,0,0,sh vs rr,7897,1556,Deepak Hooda (sh),sh,0,0,0
87,23,15,16,0,sh vs rr,7897,1748,Shreyas Gopal (rr),rr,0,16,0
88,0,110,41,20,sh vs rr,7897,2885,Rashid Khan (sh),sh,0,0,0
89,-5,15,8,0,sh vs rr,7897,3834,Krishnappa Gowtham (rr),rr,0,8,0
90,22,15,0,0,sh vs rr,7897,3838,Rahul Tripathi (rr),rr,0,0,0
91,4,10,22,0,sh vs rr,7897,3887,D Arcy Short (rr),rr,0,22,0
92,0,0,0,0,sh vs rr,7897,148,Stuart Binny (rr),rr,0,0,0
93,27,60,0,10,csk vs kkr,7898,1,Ms Dhoni (csk),csk,27,0,0
94,23,60,31,0,csk vs kkr,7898,9,Ravindra Jadeja (csk),csk,23,0,0
95,21,35,0,20,csk vs kkr,7898,14,Suresh Raina (csk),csk,21,0,0
96,28,60,-12,10,csk vs kkr,7898,25,Dwayne Bravo (csk),csk,28,0,0
97,0,25,10,0,csk vs kkr,7898,76,Piyush Chawla (kkr),kkr,0,10,0
98,63,60,0,0,csk vs kkr,7898,100,Ambati Rayudu (csk),csk,63,0,0
99,43,25,0,10,csk vs kkr,7898,102,Dinesh Karthik (kkr),kkr,0,0,10
100,0,25,35,0,csk vs kkr,7898,103,Harbhajan Singh (csk),csk,0,0,0
101,55,25,0,10,csk vs kkr,7898,127,Robin Uthappa (kkr),kkr,0,0,10
102,0,25,-13,0,csk vs kkr,7898,140,Deepak Chahar (csk),csk,0,0,0
103,0,5,-13,10,csk vs kkr,7898,166,Vinay Kumar (kkr),kkr,0,-13,10
104,155,25,12,0,csk vs kkr,7898,177,Andre Russell (kkr),kkr,0,12,0
105,27,50,0,0,csk vs kkr,7898,179,Chris Lynn (kkr),kkr,0,0,0
106,31,75,44,0,csk vs kkr,7898,203,Sunil Narine (kkr),kkr,0,44,0
107,73,85,62,0,csk vs kkr,7898,227,Shane Watson (csk),csk,73,0,0
108,0,25,30,0,csk vs kkr,7898,261,Kuldeep Yadav (kkr),kkr,0,30,0
109,0,20,21,0,csk vs kkr,7898,898,Imran Tahir (csk),csk,0,0,0
110,0,25,36,0,csk vs kkr,7898,1745,Shardul Thakur (csk),csk,0,0,0
111,21,70,0,0,csk vs kkr,7898,2738,Nitish Rana (kkr),kkr,0,0,0
112,101,45,0,0,csk vs kkr,7898,2756,Sam Billings (csk),csk,101,0,0
113,2,10,38,0,csk vs kkr,7898,3646,Tom Curran (kkr),kkr,0,38,0
114,2,10,0,10,csk vs kkr,7898,3830,Rinku Singh (kkr),kkr,0,0,10
115,0,15,0,0,csk vs kkr,7898,1118,Karn Sharma (csk),csk,0,0,0
116,0,0,0,0,csk vs kkr,7898,7,Murali Vijay (csk),csk,0,0,0
117,0,10,59,0,rr vs dd,7899,57,Shahbaz Nadeem (dd),dd,0,0,0
118,0,5,0,0,rr vs dd,7899,84,Gautam Gambhir (dd),dd,0,0,0
119,0,15,15,0,rr vs dd,7899,86,Jaydev Unadkat (rr),rr,0,15,0
120,0,5,40,0,rr vs dd,7899,94,Mohammed Shami (dd),dd,0,0,0
121,0,15,18,0,rr vs dd,7899,101,Dhawal Kulkarni (rr),rr,0,18,0
122,60,15,0,0,rr vs dd,7899,135,Ajinkya Rahane (rr),rr,0,0,0
123,61,65,0,0,rr vs dd,7899,258,Sanju Samson (rr),rr,0,0,0
124,24,15,0,0,rr vs dd,7899,282,Glenn Maxwell (dd),dd,24,0,0
125,53,15,0,10,rr vs dd,7899,509,Jos Buttler (rr),rr,0,0,10
126,-5,10,0,0,rr vs dd,7899,773,Colin Munro (dd),dd,-5,0,0
127,34,0,-5,10,rr vs dd,7899,836,Chris Morris (dd),dd,34,0,0
