,battingPoints,bonusPoints,bowlingPoints,fieldingPoints,matchDesc,matchId,playerId,playerName,playerTeam,secondInningBattingPoints,secondInningBowlingPoints,secondInningFieldingPoints
301,1,35,0,10,mi vs rcb,7907,233,Ab De Villiers (rcb),rcb,1,0,0
302,0,20,64,0,mi vs rcb,7907,730,Mitchell Mcclenaghan (mi),mi,0,64,0
303,31,15,0,10,mi vs rcb,7907,834,Quinton De Kock (rcb),rcb,31,0,0
304,105,20,0,0,mi vs rcb,7907,872,Evin Lewis (mi),mi,0,0,0
305,18,10,19,20,mi vs rcb,7907,967,Chris Woakes (rcb),rcb,18,0,0
306,-5,5,50,20,mi vs rcb,7907,968,Corey Anderson (rcb),rcb,-5,0,0
307,0,20,72,0,mi vs rcb,7907,1124,Jasprit Bumrah (mi),mi,0,72,0
308,5,5,0,0,mi vs rcb,7907,1564,Sarfaraz Khan (rcb),rcb,5,0,0
309,0,5,-12,0,mi vs rcb,7907,1594,Mustafizur Rahman (mi),mi,0,-12,0
310,36,45,17,10,mi vs rcb,7907,2740,Hardik Pandya (mi),mi,0,17,10
311,7,15,-13,0,mi vs rcb,7907,2973,Washington Sundar (rcb),rcb,7,0,0
312,-5,20,0,15,mi vs rcb,7907,2975,Ishan Kishan (mi),mi,0,0,15
313,22,20,99,10,mi vs rcb,7907,3183,Krunal Pandya (mi),mi,0,99,10
314,10,10,16,0,mi vs rcb,7907,3840,Mohammed Siraj (rcb),rcb,10,0,0
315,0,20,39,0,mi vs rcb,7907,4951,Mayank Markande (mi),mi,0,39,0
316,0,25,45,0,rr vs kkr,7908,76,Piyush Chawla (kkr),kkr,0,0,0
317,0,15,-6,10,rr vs kkr,7908,86,Jaydev Unadkat (rr),rr,0,-6,10
318,3,15,10,0,rr vs kkr,7908,101,Dhawal Kulkarni (rr),rr,0,10,0
319,66,25,0,15,rr vs kkr,7908,102,Dinesh Karthik (kkr),kkr,66,0,0
320,67,25,0,0,rr vs kkr,7908,127,Robin Uthappa (kkr),kkr,67,0,0
321,58,15,0,0,rr vs kkr,7908,135,Ajinkya Rahane (rr),rr,0,0,0
322,0,25,0,10,rr vs kkr,7908,177,Andre Russell (kkr),kkr,0,0,0
323,-5,50,0,0,rr vs kkr,7908,179,Chris Lynn (kkr),kkr,-5,0,0
324,52,75,-4,0,rr vs kkr,7908,203,Sunil Narine (kkr),kkr,52,0,0
325,7,65,0,0,rr vs kkr,7908,258,Sanju Samson (rr),rr,0,0,0
326,0,25,39,10,rr vs kkr,7908,261,Kuldeep Yadav (kkr),kkr,0,0,0
327,29,15,0,0,rr vs kkr,7908,509,Jos Buttler (rr),rr,0,0,0
328,0,10,10,0,rr vs kkr,7908,921,Ben Laughlin (rr),rr,0,10,0
329,21,15,9,10,rr vs kkr,7908,1154,Ben Stokes (rr),rr,0,9,10
330,-5,15,17,0,rr vs kkr,7908,1748,Shreyas Gopal (rr),rr,0,17,0
331,52,70,64,10,rr vs kkr,7908,2738,Nitish Rana (kkr),kkr,52,0,0
332,0,10,58,0,rr vs kkr,7908,3646,Tom Curran (kkr),kkr,0,0,0
333,0,20,0,10,rr vs kkr,7908,3761,Shubman Gill (kkr),kkr,0,0,0
334,0,20,34,20,rr vs kkr,7908,3779,Shivam Mavi (kkr),kkr,0,0,0
335,24,15,72,0,rr vs kkr,7908,3834,Krishnappa Gowtham (rr),rr,0,72,0
336,20,15,0,0,rr vs kkr,7908,3838,Rahul Tripathi (rr),rr,0,0,0
337,61,10,0,0,rr vs kkr,7908,3887,D Arcy Short (rr),rr,0,0,0
338,0,35,-14,0,kxp vs sh,7909,8,Ravichandran Ashwin (kxp),kxp,0,-14,0
339,6,35,0,0,kxp vs sh,7909,16,Wriddhiman Saha (sh),sh,6,0,0
340,0,60,0,10,kxp vs sh,7909,41,Shikhar Dhawan (sh),sh,0,0,0
341,24,35,0,0,kxp vs sh,7909,96,Yusuf Pathan (sh),sh,24,0,0
342,0,25,0,0,kxp vs sh,7909,113,Yuvraj Singh (kxp),kxp,0,0,0
343,0,20,40,0,kxp vs sh,7909,116,Bhuvneshwar Kumar (sh),sh,0,0,0
344,84,35,0,0,kxp vs sh,7909,123,Manish Pandey (sh),sh,84,0,0
345,35,35,0,0,kxp vs sh,7909,158,Mayank Agarwal (kxp),kxp,0,0,0
346,31,25,0,10,kxp vs sh,7909,167,Aaron Finch (kxp),kxp,0,0,10
347,43,35,-13,0,kxp vs sh,7909,201,Shakib Al Hasan (sh),sh,43,0,0
348,176,75,0,0,kxp vs sh,7909,236,Chris Gayle (kxp),kxp,0,0,0
349,48,35,0,0,kxp vs sh,7909,276,Karun Nair (kxp),kxp,0,0,0
350,83,85,0,0,kxp vs sh,7909,440,Kane Williamson (sh),sh,83,0,0
351,0,35,29,0,kxp vs sh,7909,1086,Siddarth Kaul (sh),sh,0,0,0
352,0,15,39,0,kxp vs sh,7909,1107,Mohit Sharma (kxp),kxp,0,39,0
353,8,85,0,0,kxp vs sh,7909,1125,Lokesh Rahul (kxp),kxp,0,0,0
354,0,0,21,0,kxp vs sh,7909,1299,Chris Jordan (sh),sh,0,0,0
355,0,35,70,0,kxp vs sh,7909,1480,Andrew Tye (kxp),kxp,0,70,0
356,5,15,15,10,kxp vs sh,7909,1556,Deepak Hooda (sh),sh,5,0,0
357,0,25,21,0,kxp vs sh,7909,2746,Barinder Sran (kxp),kxp,0,21,0
358,0,110,13,0,kxp vs sh,7909,2885,Rashid Khan (sh),sh,0,0,0
359,0,60,15,0,kxp vs sh,7909,4572,Mujeeb Ur Rahman (kxp),kxp,0,15,0
360,0,40,0,0,kxp vs sh,7909,1521,Billy Stanlake (sh),sh,0,0,0
361,5,60,0,20,csk vs rr,7910,1,Ms Dhoni (csk),csk,0,0,20
362,2,60,11,0,csk vs rr,7910,9,Ravindra Jadeja (csk),csk,0,11,0
363,66,35,0,0,csk vs rr,7910,14,Suresh Raina (csk),csk,0,0,0
364,34,60,62,0,csk vs rr,7910,25,Dwayne Bravo (csk),csk,0,62,0
365,26,15,13,0,csk vs rr,7910,86,Jaydev Unadkat (rr),rr,26,0,0
366,22,60,0,0,csk vs rr,7910,100,Ambati Rayudu (csk),csk,0,0,0
367,23,15,0,0,csk vs rr,7910,135,Ajinkya Rahane (rr),rr,23,0,0
368,0,25,69,0,csk vs rr,7910,140,Deepak Chahar (csk),csk,0,69,0
369,15,0,-13,0,csk vs rr,7910,148,Stuart Binny (rr),rr,15,0,0
370,168,85,44,0,csk vs rr,7910,227,Shane Watson (csk),csk,0,44,0
371,2,65,0,0,csk vs rr,7910,258,Sanju Samson (rr),rr,2,0,0
372,29,15,0,20,csk vs rr,7910,509,Jos Buttler (rr),rr,29,0,0
373,0,20,14,10,csk vs rr,7910,898,Imran Tahir (csk),csk,0,14,10
374,0,10,60,0,csk vs rr,7910,921,Ben Laughlin (rr),rr,0,0,0
375,0,15,57,10,csk vs rr,7910,1118,Karn Sharma (csk),csk,0,57,10
376,62,15,-11,10,csk vs rr,7910,1154,Ben Stokes (rr),rr,62,0,0
377,0,25,69,10,csk vs rr,7910,1745,Shardul Thakur (csk),csk,0,69,10
378,8,15,107,0,csk vs rr,7910,1748,Shreyas Gopal (rr),rr,8,0,0
379,3,45,0,20,csk vs rr,7910,2756,Sam Billings (csk),csk,0,0,20
380,1,15,-7,20,csk vs rr,7910,3834,Krishnappa Gowtham (rr),rr,1,0,0
381,5,15,0,0,csk vs rr,7910,3838,Rahul Tripathi (rr),rr,5,0,0
382,7,5,0,0,csk vs rr,7910,3869,Heinrich Klaasen (rr),rr,7,0,0
383,0,35,30,0,kkr vs kxp,7911,8,Ravichandran Ashwin (kxp),kxp,0,0,0
384,2,25,-6,0,kkr vs kxp,7911,76,Piyush Chawla (kkr),kkr,0,-6,0
385,63,25,0,0,kkr vs kxp,7911,102,Dinesh Karthik (kkr),kkr,0,0,0
386,0,25,-15,0,kkr vs kxp,7911,113,Yuvraj Singh (kxp),kxp,0,0,0
387,51,25,0,0,kkr vs kxp,7911,127,Robin Uthappa (kkr),kkr,0,0,0
388,2,35,0,0,kkr vs kxp,7911,158,Mayank Agarwal (kxp),kxp,2,0,0
389,0,25,0,0,kkr vs kxp,7911,167,Aaron Finch (kxp),kxp,0,0,0
390,15,25,-13,0,kkr vs kxp,7911,177,Andre Russell (kkr),kkr,0,-13,0
391,112,50,0,0,kkr vs kxp,7911,179,Chris Lynn (kkr),kkr,0,0,0
392,1,75,39,0,kkr vs kxp,7911,203,Sunil Narine (kkr),kkr,0,39,0
393,104,75,0,0,kkr vs kxp,7911,236,Chris Gayle (kxp),kxp,104,0,0
394,0,25,-14,0,kkr vs kxp,7911,261,Kuldeep Yadav (kkr),kkr,0,-14,0
395,0,35,0,30,kkr vs kxp,7911,276,Karun Nair (kxp),kxp,0,0,0
396,0,70,-4,20,kkr vs kxp,7911,1106,Ankit Rajpoot (kxp),kxp,0,0,0
397,99,85,0,10,kkr vs kxp,7911,1125,Lokesh Rahul (kxp),kxp,99,0,0
398,0,35,69,10,kkr vs kxp,7911,1480,Andrew Tye (kxp),kxp,0,0,0
399,3,70,1,0,kkr vs kxp,7911,2738,Nitish Rana (kkr),kkr,0,1,0
400,0,25,42,0,kkr vs kxp,7911,2746,Barinder Sran (kxp),kxp,0,0,0
401,1,10,0,10,kkr vs kxp,7911,3646,Tom Curran (kkr),kkr,0,0,10
402,24,20,0,0,kkr vs kxp,7911,3761,Shubman Gill (kkr),kkr,0,0,0
403,0,20,13,0,kkr vs kxp,7911,3779,Shivam Mavi (kkr),kkr,0,13,0
404,0,60,39,0,kkr vs kxp,7911,4572,Mujeeb Ur Rahman (kxp),kxp,0,0,0
405,0,10,-12,0,rcb vs dd,7912,57,Shahbaz Nadeem (dd),dd,0,-12,0
406,0,40,41,0,rcb vs dd,7912,59,Umesh Yadav (rcb),rcb,0,0,0
407,29,15,0,0,rcb vs dd,7912,72,Mandeep Singh (rcb),rcb,29,0,0
408,3,5,0,0,rcb vs dd,7912,84,Gautam Gambhir (dd),dd,0,0,0
409,0,15,70,10,rcb vs dd,7912,111,Yuzvendra Chahal (rcb),rcb,0,0,0
410,0,0,13,0,rcb vs dd,7912,157,Harshal Patel (dd),dd,0,13,0
411,47,15,0,0,rcb vs dd,7912,164,Virat Kohli (rcb),rcb,47,0,0
412,145,35,0,10,rcb vs dd,7912,233,Ab De Villiers (rcb),rcb,145,0,0
413,4,15,36,0,rcb vs dd,7912,282,Glenn Maxwell (dd),dd,0,36,0
414,25,15,0,0,rcb vs dd,7912,834,Quinton De Kock (rcb),rcb,25,0,0
415,0,0,-3,0,rcb vs dd,7912,836,Chris Morris (dd),dd,0,-3,0
416,0,10,14,0,rcb vs dd,7912,967,Chris Woakes (rcb),rcb,0,0,0
417,22,5,29,0,rcb vs dd,7912,968,Corey Anderson (rcb),rcb,22,0,0
418,0,15,31,10,rcb vs dd,7912,969,Trent Boult (dd),dd,0,31,10
419,0,15,0,10,rcb vs dd,7912,1083,Vijay Shankar (dd),dd,0,0,10
420,2,10,0,0,rcb vs dd,7912,1085,Manan Vohra (rcb),rcb,2,0,0
421,88,40,0,0,rcb vs dd,7912,1563,Shreyas Iyer (dd),dd,0,0,0
422,18,10,7,0,rcb vs dd,7912,1749,Rahul Tewatia (dd),dd,0,7,0
423,5,30,0,10,rcb vs dd,7912,1906,Jason Roy (dd),dd,0,0,10
424,139,40,0,10,rcb vs dd,7912,2972,Rishabh Pant (dd),dd,0,0,10
425,0,15,36,0,rcb vs dd,7912,2973,Washington Sundar (rcb),rcb,0,0,0
426,0,10,15,20,rcb vs dd,7912,3840,Mohammed Siraj (rcb),rcb,0,0,0
427,52,60,0,0,sh vs csk,7913,1,Ms Dhoni (csk),csk,0,0,0
428,0,60,16,20,sh vs csk,7913,9,Ravindra Jadeja (csk),csk,0,16,20
429,83,35,0,20,sh vs csk,7913,14,Suresh Raina (csk),csk,0,0,20
430,5,35,0,15,sh vs csk,7913,16,Wriddhiman Saha (sh),sh,5,0,0
431,1,10,0,0,sh vs csk,7913,24,Faf Du Plessis (csk),csk,0,0,0
432,0,60,10,0,sh vs csk,7913,25,Dwayne Bravo (csk),csk,0,10,0
433,73,35,0,0,sh vs csk,7913,96,Yusuf Pathan (sh),sh,73,0,0
434,132,60,0,0,sh vs csk,7913,100,Ambati Rayudu (csk),csk,0,0,0
435,0,20,39,0,sh vs csk,7913,116,Bhuvneshwar Kumar (sh),sh,0,0,0
436,-5,35,0,0,sh vs csk,7913,123,Manish Pandey (sh),sh,-5,0,0
437,0,25,132,0,sh vs csk,7913,140,Deepak Chahar (csk),csk,0,132,0
438,31,35,15,0,sh vs csk,7913,201,Shakib Al Hasan (sh),sh,31,0,0
439,11,85,-8,10,sh vs csk,7913,227,Shane Watson (csk),csk,0,-8,10
440,134,85,0,10,sh vs csk,7913,440,Kane Williamson (sh),sh,134,0,0
441,0,35,12,0,sh vs csk,7913,1086,Siddarth Kaul (sh),sh,0,0,0
442,0,15,30,10,sh vs csk,7913,1118,Karn Sharma (csk),csk,0,30,10
443,0,40,17,0,sh vs csk,7913,1521,Billy Stanlake (sh),sh,0,0,0
444,-5,0,0,0,sh vs csk,7913,1555,Ricky Bhui (sh),sh,-5,0,0
445,1,15,11,10,sh vs csk,7913,1556,Deepak Hooda (sh),sh,1,0,0
446,0,25,19,0,sh vs csk,7913,1745,Shardul Thakur (csk),csk,0,19,0
447,0,45,0,0,sh vs csk,7913,2756,Sam Billings (csk),csk,0,0,0
448,36,110,10,0,sh vs csk,7913,2885,Rashid Khan (sh),sh,36,0,0
449,0,15,39,0,rr vs mi,7914,86,Jaydev Unadkat (rr),rr,0,0,0
450,0,15,72,0,rr vs mi,7914,101,Dhawal Kulkarni (rr),rr,0,0,0
451,-5,70,0,0,rr vs mi,7914,107,Rohit Sharma (mi),mi,0,0,0
452,108,45,0,10,rr vs mi,7914,108,Suryakumar Yadav (mi),mi,0,0,10
453,4,15,0,10,rr vs mi,7914,135,Ajinkya Rahane (rr),rr,4,0,0
454,28,5,0,0,rr vs mi,7914,210,Kieron Pollard (mi),mi,0,0,0
455,77,65,0,0,rr vs mi,7914,258,Sanju Samson (rr),rr,77,0,0
456,6,15,0,20,rr vs mi,7914,509,Jos Buttler (rr),rr,6,0,0
457,0,20,15,0,rr vs mi,7914,730,Mitchell Mcclenaghan (mi),mi,0,15,0
458,-5,20,0,0,rr vs mi,7914,872,Evin Lewis (mi),mi,0,0,0
459,0,20,70,0,rr vs mi,7914,1124,Jasprit Bumrah (mi),mi,0,70,0
460,57,15,-5,0,rr vs mi,7914,1154,Ben Stokes (rr),rr,57,0,0
461,0,5,31,0,rr vs mi,7914,1594,Mustafizur Rahman (mi),mi,0,31,0
462,0,15,-14,0,rr vs mi,7914,1748,Shreyas Gopal (rr),rr,0,0,0
463,4,45,59,20,rr vs mi,7914,2740,Hardik Pandya (mi),mi,0,59,20
464,89,20,0,10,rr vs mi,7914,2975,Ishan Kishan (mi),mi,0,0,10
465,7,20,30,10,rr vs mi,7914,3183,Krunal Pandya (mi),mi,0,30,10
466,8,30,103,0,rr vs mi,7914,3502,Jofra Archer (rr),rr,8,0,0
467,62,15,15,0,rr vs mi,7914,3834,Krishnappa Gowtham (rr),rr,62,0,0
468,9,15,0,0,rr vs mi,7914,3838,Rahul Tripathi (rr),rr,9,0,0
469,-5,5,0,10,rr vs mi,7914,3869,Heinrich Klaasen (rr),rr,-5,0,0
470,0,20,13,0,rr vs mi,7914,4951,Mayank Markande (mi),mi,0,13,0
471,6,35,23,0,dd vs kxp,7915,8,Ravichandran Ashwin (kxp),kxp,0,23,0
472,1,10,12,0,dd vs kxp,7915,30,Amit Mishra (dd),dd,1,0,0
473,4,5,0,0,dd vs kxp,7915,84,Gautam Gambhir (dd),dd,4,0,0
474,4,25,0,0,dd vs kxp,7915,113,Yuvraj Singh (kxp),kxp,0,0,0
475,26,35,0,0,dd vs kxp,7915,158,Mayank Agarwal (kxp),kxp,0,0,0
476,2,25,0,20,dd vs kxp,7915,167,Aaron Finch (kxp),kxp,0,0,20
477,6,5,38,0,dd vs kxp,7915,181,Dan Christian (dd),dd,6,0,0
478,43,10,0,0,dd vs kxp,7915,187,David Miller (kxp),kxp,0,0,0
479,49,35,0,20,dd vs kxp,7915,276,Karun Nair (kxp),kxp,0,0,20
480,19,15,17,0,dd vs kxp,7915,282,Glenn Maxwell (dd),dd,19,0,0
481,0,15,69,0,dd vs kxp,7915,969,Trent Boult (dd),dd,0,0,0
482,0,70,75,0,dd vs kxp,7915,1106,Ankit Rajpoot (kxp),kxp,0,75,0
483,35,85,0,10,dd vs kxp,7915,1125,Lokesh Rahul (kxp),kxp,0,0,10
484,3,35,71,10,dd vs kxp,7915,1480,Andrew Tye (kxp),kxp,0,71,10
485,0,10,64,10,dd vs kxp,7915,1561,Avesh Khan (dd),dd,0,0,0
486,84,40,0,20,dd vs kxp,7915,1563,Shreyas Iyer (dd),dd,84,0,0
487,31,10,11,10,dd vs kxp,7915,1749,Rahul Tewatia (dd),dd,31,0,0
488,0,10,107,10,dd vs kxp,7915,1842,Liam Plunkett (dd),dd,0,0,0
489,0,25,15,0,dd vs kxp,7915,2746,Barinder Sran (kxp),kxp,0,15,0
490,4,40,0,10,dd vs kxp,7915,2972,Rishabh Pant (dd),dd,4,0,0
491,37,10,0,0,dd vs kxp,7915,3764,Prithvi Shaw (dd),dd,37,0,0
492,0,60,72,0,dd vs kxp,7915,4572,Mujeeb Ur Rahman (kxp),kxp,0,72,0
493,-5,35,0,0,mi vs sh,7916,16,Wriddhiman Saha (sh),sh,0,0,0
494,5,60,0,20,mi vs sh,7916,41,Shikhar Dhawan (sh),sh,0,0,20
495,31,35,0,0,mi vs sh,7916,96,Yusuf Pathan (sh),sh,0,0,0
496,2,70,0,10,mi vs sh,7916,107,Rohit Sharma (mi),mi,2,0,0
497,34,45,0,10,mi vs sh,7916,108,Suryakumar Yadav (mi),mi,34,0,0
498,21,35,0,10,mi vs sh,7916,123,Manish Pandey (sh),sh,0,0,10
499,2,35,38,0,mi vs sh,7916,201,Shakib Al Hasan (sh),sh,0,38,0
500,11,5,0,0,mi vs sh,7916,210,Kieron Pollard (mi),mi,11,0,0
501,44,85,0,0,mi vs sh,7916,440,Kane Williamson (sh),sh,0,0,0
502,19,5,38,0,mi vs sh,7916,618,Mohammad Nabi (sh),sh,0,38,0
503,0,20,71,0,mi vs sh,7916,730,Mitchell Mcclenaghan (mi),mi,0,0,0
504,5,20,0,0,mi vs sh,7916,872,Evin Lewis (mi),mi,5,0,0
505,2,35,103,0,mi vs sh,7916,1086,Siddarth Kaul (sh),sh,0,103,0
506,0,25,49,0,mi vs sh,7916,1112,Sandeep Sharma (sh),sh,0,49,0
507,6,20,39,0,mi vs sh,7916,1124,Jasprit Bumrah (mi),mi,6,0,0
508,1,5,47,0,mi vs sh,7916,1594,Mustafizur Rahman (mi),mi,1,0,0
509,3,45,69,20,mi vs sh,7916,2740,Hardik Pandya (mi),mi,3,0,0
510,6,110,101,10,mi vs sh,7916,2885,Rashid Khan (sh),sh,0,101,10
511,-5,20,0,40,mi vs sh,7916,2975,Ishan Kishan (mi),mi,-5,0,0
512,29,20,13,0,mi vs sh,7916,3183,Krunal Pandya (mi),mi,29,0,0
513,3,10,72,10,mi vs sh,7916,3825,Basil Thampi (sh),sh,0,72,10
514,1,20,75,0,mi vs sh,7916,4951,Mayank Markande (mi),mi,1,0,0
515,119,60,0,10,rcb vs csk,7917,1,Ms Dhoni (csk),csk,119,0,0
516,3,60,-6,30,rcb vs csk,7917,9,Ravindra Jadeja (csk),csk,3,0,0
517,16,35,0,0,rcb vs csk,7917,14,Suresh Raina (csk),csk,16,0,0
518,31,60,87,10,rcb vs csk,7917,25,Dwayne Bravo (csk),csk,31,0,0
519,-5,0,17,0,rcb vs csk,7917,53,Pawan Negi (rcb),rcb,0,17,0
520,0,40,42,10,rcb vs csk,7917,59,Umesh Yadav (rcb),rcb,0,42,10
521,58,15,0,10,rcb vs csk,7917,72,Mandeep Singh (rcb),rcb,0,0,10
522,138,60,0,0,rcb vs csk,7917,100,Ambati Rayudu (csk),csk,138,0,0
523,0,25,-4,10,rcb vs csk,7917,103,Harbhajan Singh (csk),csk,0,0,0
524,0,15,71,0,rcb vs csk,7917,111,Yuzvendra Chahal (rcb),rcb,0,71,0
525,0,25,9,0,rcb vs csk,7917,140,Deepak Chahar (csk),csk,0,0,0
526,23,15,0,0,rcb vs csk,7917,164,Virat Kohli (rcb),rcb,0,0,0
527,9,85,-8,0,rcb vs csk,7917,227,Shane Watson (csk),csk,9,0,0
528,119,35,0,0,rcb vs csk,7917,233,Ab De Villiers (rcb),rcb,0,0,0
529,21,5,0,0,rcb vs csk,7917,820,Colin De Grandhomme (rcb),rcb,0,0,0
530,86,15,0,15,rcb vs csk,7917,834,Quinton De Kock (rcb),rcb,0,0,15
531,0,20,60,0,rcb vs csk,7917,898,Imran Tahir (csk),csk,0,0,0
532,2,5,-13,0,rcb vs csk,7917,968,Corey Anderson (rcb),rcb,0,-13,0
533,0,25,70,0,rcb vs csk,7917,1745,Shardul Thakur (csk),csk,0,0,0
534,9,45,0,20,rcb vs csk,7917,2756,Sam Billings (csk),csk,9,0,0
535,30,15,-13,0,rcb vs csk,7917,2973,Washington Sundar (rcb),rcb,0,-13,0
536,0,10,-6,10,rcb vs csk,7917,3840,Mohammed Siraj (rcb),rcb,0,-6,10
537,4,35,13,10,sh vs kxp,7918,8,Ravichandran Ashwin (kxp),kxp,4,0,0
538,6,35,0,10,sh vs kxp,7918,16,Wriddhiman Saha (sh),sh,0,0,10
539,16,60,0,0,sh vs kxp,7918,41,Shikhar Dhawan (sh),sh,0,0,0
540,1,10,5,0,sh vs kxp,7918,89,Manoj Tiwary (kxp),kxp,1,0,0
541,28,35,0,0,sh vs kxp,7918,96,Yusuf Pathan (sh),sh,0,0,0
542,81,35,0,20,sh vs kxp,7918,123,Manish Pandey (sh),sh,0,0,20
543,2,35,0,20,sh vs kxp,7918,158,Mayank Agarwal (kxp),kxp,2,0,0
544,10,25,0,0,sh vs kxp,7918,167,Aaron Finch (kxp),kxp,10,0,0
545,28,35,67,0,sh vs kxp,7918,201,Shakib Al Hasan (sh),sh,0,67,0
546,32,75,0,0,sh vs kxp,7918,236,Chris Gayle (kxp),kxp,32,0,0
547,3,35,0,10,sh vs kxp,7918,276,Karun Nair (kxp),kxp,3,0,0
548,-5,85,0,20,sh vs kxp,7918,440,Kane Williamson (sh),sh,0,0,20
549,4,5,-6,0,sh vs kxp,7918,618,Mohammad Nabi (sh),sh,0,-6,0
550,0,35,19,0,sh vs kxp,7918,1086,Siddarth Kaul (sh),sh,0,19,0
551,8,70,172,0,sh vs kxp,7918,1106,Ankit Rajpoot (kxp),kxp,8,0,0
552,0,25,78,0,sh vs kxp,7918,1112,Sandeep Sharma (sh),sh,0,78,0
553,49,85,0,0,sh vs kxp,7918,1125,Lokesh Rahul (kxp),kxp,49,0,0
554,4,35,18,10,sh vs kxp,7918,1480,Andrew Tye (kxp),kxp,4,0,0
555,2,25,14,0,sh vs kxp,7918,2746,Barinder Sran (kxp),kxp,2,0,0
556,0,110,106,0,sh vs kxp,7918,2885,Rashid Khan (sh),sh,0,106,0
557,0,10,66,10,sh vs kxp,7918,3825,Basil Thampi (sh),sh,0,66,10
558,25,60,46,0,sh vs kxp,7918,4572,Mujeeb Ur Rahman (kxp),kxp,25,0,0
559,0,10,90,0,dd vs kkr,7919,30,Amit Mishra (dd),dd,0,90,0
560,2,25,35,0,dd vs kkr,7919,76,Piyush Chawla (kkr),kkr,2,0,0
561,25,25,0,10,dd vs kkr,7919,102,Dinesh Karthik (kkr),kkr,25,0,0
562,1,25,0,0,dd vs kkr,7919,127,Robin Uthappa (kkr),kkr,1,0,0
563,67,25,31,0,dd vs kkr,7919,177,Andre Russell (kkr),kkr,67,0,0
564,5,50,0,0,dd vs kkr,7919,179,Chris Lynn (kkr),kkr,5,0,0
565,57,75,-6,0,dd vs kkr,7919,203,Sunil Narine (kkr),kkr,57,0,0
566,27,15,-1,0,dd vs kkr,7919,213,Mitchell Johnson (kkr),kkr,27,0,0
567,7,25,-8,0,dd vs kkr,7919,261,Kuldeep Yadav (kkr),kkr,7,0,0
568,51,15,43,0,dd vs kkr,7919,282,Glenn Maxwell (dd),dd,0,43,0
569,57,10,0,10,dd vs kkr,7919,773,Colin Munro (dd),dd,0,0,10
570,0,15,49,10,dd vs kkr,7919,969,Trent Boult (dd),dd,0,49,10
571,0,15,6,0,dd vs kkr,7919,1083,Vijay Shankar (dd),dd,0,6,0
572,0,10,72,10,dd vs kkr,7919,1561,Avesh Khan (dd),dd,0,72,10
573,158,40,0,20,dd vs kkr,7919,1563,Shreyas Iyer (dd),dd,0,0,20
574,0,10,-7,0,dd vs kkr,7919,1749,Rahul Tewatia (dd),dd,0,-7,0
575,0,10,19,0,dd vs kkr,7919,1842,Liam Plunkett (dd),dd,0,19,0
576,8,70,0,0,dd vs kkr,7919,2738,Nitish Rana (kkr),kkr,8,0,0
577,-5,40,0,0,dd vs kkr,7919,2972,Rishabh Pant (dd),dd,0,0,0
578,54,20,0,0,dd vs kkr,7919,3761,Shubman Gill (kkr),kkr,54,0,0
579,91,10,0,10,dd vs kkr,7919,3764,Prithvi Shaw (dd),dd,0,0,10
580,-5,20,13,10,dd vs kkr,7919,3779,Shivam Mavi (kkr),kkr,-5,0,0
581,43,60,0,0,csk vs mi,7920,1,Ms Dhoni (csk),csk,0,0,0
582,0,60,0,10,csk vs mi,7920,9,Ravindra Jadeja (csk),csk,0,0,10
583,123,35,0,0,csk vs mi,7920,14,Suresh Raina (csk),csk,0,0,0
584,-5,60,35,0,csk vs mi,7920,25,Dwayne Bravo (csk),csk,0,35,0
585,69,60,0,0,csk vs mi,7920,100,Ambati Rayudu (csk),csk,0,0,0
586,0,25,37,0,csk vs mi,7920,103,Harbhajan Singh (csk),csk,0,37,0
587,90,70,0,0,csk vs mi,7920,107,Rohit Sharma (mi),mi,90,0,0
588,61,45,0,0,csk vs mi,7920,108,Suryakumar Yadav (mi),mi,61,0,0
589,0,25,11,0,csk vs mi,7920,140,Deepak Chahar (csk),csk,0,11,0
590,0,15,0,0,csk vs mi,7920,182,Jp Duminy (mi),mi,0,0,0
591,17,85,-2,0,csk vs mi,7920,227,Shane Watson (csk),csk,0,-2,0
592,0,20,70,0,csk vs mi,7920,730,Mitchell Mcclenaghan (mi),mi,0,0,0
593,66,20,0,10,csk vs mi,7920,872,Evin Lewis (mi),mi,66,0,0
594,0,20,10,0,csk vs mi,7920,898,Imran Tahir (csk),csk,0,10,0
595,0,15,-14,20,csk vs mi,7920,913,Ben Cutting (mi),mi,0,0,0
596,0,20,22,0,csk vs mi,7920,1124,Jasprit Bumrah (mi),mi,0,0,0
597,0,25,14,10,csk vs mi,7920,1745,Shardul Thakur (csk),csk,0,14,10
598,25,45,33,0,csk vs mi,7920,2740,Hardik Pandya (mi),mi,25,0,0
599,3,45,0,0,csk vs mi,7920,2756,Sam Billings (csk),csk,0,0,0
600,0,20,0,0,csk vs mi,7920,2975,Ishan Kishan (mi),mi,0,0,0
601,0,20,69,0,csk vs mi,7920,3183,Krunal Pandya (mi),mi,0,0,0
602,0,20,10,20,csk vs mi,7920,4951,Mayank Markande (mi),mi,0,0,0
603,21,35,0,10,rr vs sh,7921,16,Wriddhiman Saha (sh),sh,0,0,10
604,6,60,0,20,rr vs sh,7921,41,Shikhar Dhawan (sh),sh,0,0,20
605,0,15,14,0,rr vs sh,7921,86,Jaydev Unadkat (rr),rr,0,0,0
606,2,35,32,0,rr vs sh,7921,96,Yusuf Pathan (sh),sh,0,32,0
